wet_name,effect_type,gain_level,sisdr_wet,sisdr_restored,sisdr_improvement,l1_wet,l1_restored,mrstft_wet,mrstft_restored,mcd_wet,mcd_restored
dataset4_Career_SG_fast_metal_metal_6_130BPM_reverb_only_3_wet,reverb_only,unknown,24.70541010404553,19.613255213013364,-5.092154891032166,0.049224656,0.01197952,1.4345709085464478,0.78448486328125,21.029082852035607,24.503172568717826
dataset4_Career_SG_fast_pop_pop_5_90BPM_blackpanel_v10.0_t5.0_b7.0_amp_reverb_6_wet,amp_reverb,cranked,-2.9322335963477455,7.062796294544132,9.995029890891878,0.034520138,0.020871969,2.287763833999634,1.2272822856903076,135.49872158447818,38.80749986207421
dataset4_Career_SG_fast_pop_pop_5_90BPM_blackpanel_v10.0_t5.0_b7.0_wet,nam_only,cranked,-1.0650124255569893,8.194835643017196,9.259848068574186,0.027610002,0.0168388,1.8616889715194702,0.9379127025604248,95.64140427334755,35.33558023779711
dataset4_Career_SG_fast_pop_pop_5_90BPM_blackpanel_v2.0_t5.0_b5.0_comp_amp_delay_reverb_1_wet,comp_amp_delay_reverb,clean,0.9699695942314366,9.146358447485273,8.176388853253837,0.026789185,0.017765373,2.4679837226867676,1.2665642499923706,144.32194595378766,36.96941424792592
dataset4_Career_SG_fast_pop_pop_5_90BPM_blackpanel_v9.0_t5.0_b5.0_amp_delay_reverb_12_wet,amp_delay_reverb,cranked,-1.3204855929860524,7.527701632110356,8.848187225096408,0.028968409,0.024706904,2.3892641067504883,1.3991416692733765,140.57215761216224,35.28840232321281
dataset4_Career_SG_fast_pop_pop_5_90BPM_blackpanel_v9.0_t5.0_b5.0_wet,nam_only,cranked,-0.4695851649546914,8.800695789962942,9.270280954917634,0.026556905,0.017527627,1.8804502487182617,0.9820945262908936,94.38134171432917,36.163416648144306
dataset4_Career_SG_slow_country_folk_country_4_80BPM_blackpanel_v9.0_t5.0_b5.0_amp_delay_reverb_8_wet,amp_delay_reverb,cranked,-6.778308505391345,4.235835271782322,11.014143777173667,0.026073556,0.017278023,2.4201812744140625,1.4421892166137695,149.1524131630541,31.920834954592696
dataset4_Career_SG_slow_country_folk_country_4_80BPM_chime_bass3p0_cut3p0_treble8p0_volume7p0_comp_amp_reverb_12_wet,comp_amp_reverb,unknown,-7.979552408744767,3.75597237316918,11.735524781913947,0.030342542,0.017672153,2.420618772506714,1.3346551656723022,118.50187246810812,28.849781878286276
dataset4_Career_SG_slow_country_folk_country_4_80BPM_reverb_only_1_wet,reverb_only,unknown,8.896272114833684,11.856016473324287,2.959744358490603,0.012495701,0.005936802,1.2437283992767334,0.7913568615913391,65.29941238430008,32.973808980457775
dataset4_Career_SG_slow_country_folk_country_4_80BPM_reverb_only_8_wet,reverb_only,unknown,18.27386149749081,16.028697766875887,-2.245163730614923,0.014707205,0.0046783495,1.5765072107315063,0.8043659329414368,49.06706745106528,27.60846026837738
dataset4_Career_SG_slow_jazz_jazz_1_160BPM_blackpanel_v2.0_t5.0_b5.0_wet,nam_only,clean,0.8619572768610142,9.53828628315989,8.676329006298875,0.049695253,0.019280655,1.8288145065307617,1.0904144048690796,61.632927642424015,29.351777417487025
dataset4_Career_SG_slow_jazz_jazz_1_160BPM_chime_bass7p0_cut5p0_treble5p0_volume10p0_amp_reverb_5_wet,amp_reverb,unknown,-5.039748054173739,6.5851468251775565,11.624894879351295,0.06420832,0.031777106,2.574246406555176,1.197572112083435,118.08233227219692,37.51703871268239
dataset4_Career_SG_slow_jazz_jazz_1_160BPM_chime_bass7p0_cut7p0_treble3p0_volume4p5_comp_amp_delay_reverb_7_wet,comp_amp_delay_reverb,unknown,-5.965537400842052,3.534634514768416,9.50017191561047,0.060329836,0.033642936,2.323298215866089,1.1934870481491089,118.24512803559517,48.327538285247314
dataset4_Career_SG_slow_jazz_jazz_1_160BPM_delay_only_12_wet,delay_only,unknown,10.305702416067287,13.247598131255359,2.941895715188071,0.025101751,0.012752957,1.2612756490707397,1.086290955543518,70.14201185614655,41.03598643279856
